K = 2
0.0001 0.000493203 2198
0.0002 0.000500632 2681
0.0003 0.000517749 2569
0.0004 0.000520486 3293
0.0005 0.000526737 4648
0.0006 0.000474792 3941
0.0007 0.000413501 4124
0.0008 0.000470189 5713
0.0009 0.000477249 6229
0.001 0.000476203 7049
0.0011 0.000417712 5793
0.0012 0.00037639 5485
0.0013 0.000425202 6013
0.0014 0.000458246 9799
0.0015 0.000430808 8081
0.0016 0.000420623 6614
0.0017 0.000437207 9569
0.0018 0.00043774 10469
0.0019 0.000440902 9142
0.002 0.000438452 9395
0.0021 0.000432126 10230
0.0022 0.000430292 11446
0.0023 0.000432952 11298
0.0024 0.000440104 13265
0.0025 0.000451748 10145
0.0026 0.000467885 11833
0.0027 0.000488515 39960
0.0028 0.000502361 31937
0.0029 0.000512349 35133
0.003 0.000518932 47484
0.0031 0.00052692 31912
0.0032 0.000536315 44706
0.0033 0.000547116 51517
0.0034 0.000559323 31394
0.0035 0.000572936 29672
0.0036 0.000587955 41645
0.0037 0.00060438 35229
0.0038 0.000622212 38224
0.0039 0.00064145 53135
0.004 0.000654799 37531
0.0041 0.000674603 49809
0.0042 0.000704749 61535
0.0043 0.000691035 57451
0.0044 0.000727554 47997
0.0045 0.000752141 53480
0.0046 0.000753663 52269
0.0047 0.0007581 44550
0.0048 0.000765453 39565
0.0049 0.000775722 40627
0.005 0.000788906 33794
0.0051 0.000805006 39029
0.0052 0.000824022 33145
0.0053 0.000845953 35438
0.0054 0.0008708 32822
0.0055 0.000898563 31668
0.0056 0.000929242 28361
0.0057 0.000962836 29607
0.0058 0.000995782 11069
0.0059 0.00101393 9883
0.006 0.00102992 27412
0.0061 0.00105028 9202
0.0062 0.00107525 10444
0.0063 0.00110154 8743
0.0064 0.00111933 8741
0.0065 0.00113875 8099
0.0066 0.0011598 7489
0.0067 0.00118248 7749
0.0068 0.00120678 6374
0.0069 0.00122431 5347
0.007 0.00124125 5303
0.0071 0.00125998 5528
0.0072 0.00128051 5667
0.0073 0.00130284 4981
0.0074 0.00132697 4248
0.0075 0.00135289 3614
0.0076 0.0013806 3736
0.0077 0.00141012 3871
0.0078 0.00144143 4131
0.0079 0.00147454 4467
0.008 0.00150944 3499
0.0081 0.00154614 3685
0.0082 0.00158464 3785
0.0083 0.00162493 3256
0.0084 0.00166702 3416
0.0085 0.00171091 3146
0.0086 0.00175659 3081
0.0087 0.00180407 3065
0.0088 0.00185334 3184
0.0089 0.00190442 2448
0.009 0.00195729 2737
0.0091 0.00201195 3870
0.0092 0.00206841 3559
0.0093 0.00211455 2306
0.0094 0.00214953 2109
0.0095 0.00218679 2131
0.0096 0.00222634 2098
0.0097 0.00226817 2954
0.0098 0.00231229 2966
0.0099 0.0023587 2027
0.01 0.00240739 2163
0.0101 0.00240884 2027
0.0102 0.00240782 1934
0.0103 0.00241498 2812
0.0104 0.00243033 2689
0.0105 0.00245386 1830
0.0106 0.00248557 1828
0.0107 0.00252546 1743
0.0108 0.00257353 1659
0.0109 0.00262979 1643
0.011 0.00269423 1752
0.0111 0.00276685 1721
0.0112 0.00284766 1747
0.0113 0.00293664 1747
0.0114 0.00303381 1706
0.0115 0.00313158 1512
0.0116 0.00317595 2869
0.0117 0.00322369 2623
0.0118 0.00327482 2685
0.0119 0.00332932 2194
0.012 0.00338721 2225
0.0121 0.00344847 1727
0.0122 0.00351311 1966
0.0123 0.00358114 1557
0.0124 0.00365254 1565
0.0125 0.00372733 1749
0.0126 0.00380549 1546
0.0127 0.00388703 1667
0.0128 0.00397195 1532
0.0129 0.00406026 1562
0.013 0.00415194 1525
0.0131 0.004247 1565
0.0132 0.00434544 1666
0.0133 0.00444726 1533
0.0134 0.00455247 1509
0.0135 0.00466105 1499
0.0136 0.00477301 1521
0.0137 0.00488835 1556
0.0138 0.00500707 1497
0.0139 0.00512917 1489
0.014 0.00525465 1730
0.0141 0.00538351 1614
0.0142 0.00551575 1721
0.0143 0.00565137 1598
0.0144 0.00579037 1488
0.0145 0.00593275 1503
0.0146 0.0060785 1470
0.0147 0.00622764 1488
0.0148 0.00638016 1540
0.0149 0.00653606 1473
0.015 0.00669534 1544
0.0151 0.00685799 1541
0.0152 0.0070165 1553
0.0153 0.00698947 1623
0.0154 0.00697475 1661
0.0155 0.00697235 1474
0.0156 0.00698227 1566
0.0157 0.00700449 1488
0.0158 0.00703904 1517
0.0159 0.00708589 1535
0.016 0.00714506 1501
0.0161 0.00721655 1510
0.0162 0.00730035 1584
0.0163 0.00739646 1708
0.0164 0.00750489 1491
0.0165 0.00762563 1588
0.0166 0.00775868 1524
0.0167 0.00790405 1501
0.0168 0.00806174 1676
0.0169 0.00823174 1469
0.017 0.00841405 1731
0.0171 0.00860868 1858
0.0172 0.00881562 1626
0.0173 0.00903487 1416
0.0174 0.00926644 1483
0.0175 0.00951033 1468
0.0176 0.00976652 1397
0.0177 0.010035 1439
0.0178 0.0103159 1388
0.0179 0.010609 1405
0.018 0.0109145 1499
