K = 2
0.0001 0.000525214 107
0.0002 0.000516111 233
0.0003 0.000517658 190
0.0004 0.000525789 164
0.0005 0.000507194 99
0.0006 0.000491455 155
0.0007 0.000478569 103
0.0008 0.000468538 404
0.0009 0.000461362 507
0.001 0.00045704 193
0.0011 0.000452286 209
0.0012 0.000433908 422
0.0013 0.000422301 129
0.0014 0.000417464 425
0.0015 0.000419398 244
0.0016 0.000428103 304
0.0017 0.000439814 536
0.0018 0.000433776 480
0.0019 0.000428757 376
0.002 0.000424759 307
0.0021 0.000421779 281
0.0022 0.000419819 442
0.0023 0.00041663 514
0.0024 0.000412328 587
0.0025 0.000379832 256
0.0026 0.000377948 320
0.0027 0.000408782 854
0.0028 0.000410719 226
0.0029 0.000401265 271
0.003 0.000387268 297
0.0031 0.000378602 485
0.0032 0.000375268 265
0.0033 0.000377266 171
0.0034 0.000384595 209
0.0035 0.000397255 234
0.0036 0.000405944 247
0.0037 0.000406903 193
0.0038 0.00041608 319
0.0039 0.000417444 216
0.004 0.00041983 276
0.0041 0.000420822 902
0.0042 0.000424627 173
0.0043 0.000415715 273
0.0044 0.000432576 181
0.0045 0.000420675 404
0.0046 0.000406371 1338
0.0047 0.000399225 523
0.0048 0.000399632 166
0.0049 0.000407593 123
0.005 0.000423107 114
0.0051 0.000446173 257
0.0052 0.000476793 246
0.0053 0.00049412 129
0.0054 0.000517716 204
0.0055 0.000539437 298
0.0056 0.000547385 145
0.0057 0.000556657 222
0.0058 0.000567255 506
0.0059 0.000579176 177
0.006 0.000592423 398
0.0061 0.000606994 672
0.0062 0.00062289 150
0.0063 0.000640111 189
0.0064 0.000658656 176
0.0065 0.000678527 119
0.0066 0.000699721 261
0.0067 0.000692597 99
0.0068 0.000686487 156
0.0069 0.000684518 187
0.007 0.000686691 144
0.0071 0.000693006 194
0.0072 0.000703462 94
0.0073 0.000718061 194
0.0074 0.00073654 207
0.0075 0.000756877 138
0.0076 0.000781694 165
0.0077 0.000810991 90
0.0078 0.000844766 153
0.0079 0.000883022 93
0.008 0.000925756 88
0.0081 0.000961726 180
0.0082 0.000974202 151
0.0083 0.00100105 119
0.0084 0.00104228 84
0.0085 0.00109788 84
0.0086 0.00116785 120
0.0087 0.0012522 140
0.0088 0.00132046 84
0.0089 0.00142993 77
0.009 0.00158382 77

K = 3
0.0001 0.000421152 99
0.0002 0.000406942 99
0.0003 0.000400861 101
0.0004 0.00039387 122
0.0005 0.000388982 219
0.0006 0.000379537 253
0.0007 0.000371601 202
0.0008 0.000366408 468
0.0009 0.000363957 232
0.001 0.000364248 171
0.0011 0.000367283 219
0.0012 0.000357878 293
0.0013 0.000350404 407
0.0014 0.000345495 253
0.0015 0.000341276 202
0.0016 0.000333469 220
0.0017 0.00033085 282
0.0018 0.00032551 257
0.0019 0.000320949 293
0.002 0.00031956 311
0.0021 0.000321344 379
0.0022 0.000318187 545
0.0023 0.000315137 395
0.0024 0.000313608 921
0.0025 0.000311802 989
0.0026 0.000305582 937
0.0027 0.000314256 1009
0.0028 0.000306834 970
0.0029 0.000303529 953
0.003 0.000304339 1204
0.0031 0.000309266 1091
0.0032 0.000314392 1042
0.0033 0.000313136 1063
0.0034 0.000313965 940
0.0035 0.000316877 1009
0.0036 0.000319165 1322
0.0037 0.000315846 978
0.0038 0.000314603 470
0.0039 0.00031517 356
0.004 0.000315247 303
0.0041 0.000315783 267
0.0042 0.000316379 237
0.0043 0.000319741 418
0.0044 0.000325867 308
0.0045 0.000330166 277
0.0046 0.000334244 214
0.0047 0.000336312 216
0.0048 0.0003371 156
0.0049 0.00034544 228
0.005 0.000360602 306
0.0051 0.000372655 145
0.0052 0.00038612 208
0.0053 0.000387492 150
0.0054 0.000390166 192
0.0055 0.000394139 133
0.0056 0.000399413 163
0.0057 0.000405987 161
0.0058 0.000413861 191
0.0059 0.000423036 170
0.006 0.000433511 166
0.0061 0.000445287 134
0.0062 0.000458362 270
0.0063 0.000472739 208
0.0064 0.000488415 237
0.0065 0.000505392 183
0.0066 0.000523669 128
0.0067 0.000542768 186
0.0068 0.000561122 297
0.0069 0.000581289 347
0.007 0.000592059 182
0.0071 0.00059686 181
0.0072 0.00060579 163
0.0073 0.000618851 217
0.0074 0.000636041 121
0.0075 0.000657173 164
0.0076 0.000681041 101
0.0077 0.000709384 172
0.0078 0.000742202 94
0.0079 0.000779495 142
0.008 0.000821263 194
0.0081 0.000865641 90
0.0082 0.000899047 128
0.0083 0.000944259 154
0.0084 0.00100128 86
0.0085 0.00106949 109
0.0086 0.00113736 119
0.0087 0.00121954 83
0.0088 0.00131512 97
0.0089 0.00142993 74
0.009 0.00158382 75

K = 4
0.0001 0.000367497 103
0.0002 0.000359967 102
0.0003 0.000350778 176
0.0004 0.000343692 206
0.0005 0.000338709 215
0.0006 0.000332781 110
0.0007 0.000328719 113
0.0008 0.000323485 246
0.0009 0.000320391 144
0.001 0.000317924 197
0.0011 0.000311389 397
0.0012 0.000307109 297
0.0013 0.000305085 272
0.0014 0.000305315 566
0.0015 0.000301469 253
0.0016 0.000298676 385
0.0017 0.000294471 337
0.0018 0.000294952 842
0.0019 0.00029099 864
0.002 0.000287531 1015
0.0021 0.000281728 980
0.0022 0.000277446 1188
0.0023 0.000274684 1193
0.0024 0.000273443 1777
0.0025 0.000273722 1391
0.0026 0.000275521 3853
0.0027 0.000277099 3572
0.0028 0.000275134 3992
0.0029 0.000273162 3673
0.003 0.000272082 2367
0.0031 0.000271895 2252
0.0032 0.000271136 1824
0.0033 0.000267767 1242
0.0034 0.000266036 1248
0.0035 0.000265944 1416
0.0036 0.000267489 1290
0.0037 0.000270674 1440
0.0038 0.000274076 1168
0.0039 0.000277569 909
0.004 0.000282594 1171
0.0041 0.000283021 924
0.0042 0.00028551 938
0.0043 0.000290708 793
0.0044 0.000295732 368
0.0045 0.000295305 284
0.0046 0.00029665 256
0.0047 0.000303274 273
0.0048 0.000315178 438
0.0049 0.00031901 601
0.005 0.000327134 292
0.0051 0.000335134 695
0.0052 0.000337908 481
0.0053 0.000341908 383
0.0054 0.000347135 548
0.0055 0.000353588 331
0.0056 0.000361269 360
0.0057 0.000370176 583
0.0058 0.00038031 214
0.0059 0.00039167 147
0.006 0.000402577 414
0.0061 0.00041235 294
0.0062 0.00042336 172
0.0063 0.000435607 180
0.0064 0.000449092 206
0.0065 0.000463751 107
0.0066 0.000475326 124
0.0067 0.000488561 151
0.0068 0.000503455 185
0.0069 0.00052001 199
0.007 0.000538224 184
0.0071 0.000551094 138
0.0072 0.000560995 164
0.0073 0.000575016 198
0.0074 0.000593156 98
0.0075 0.000614911 110
0.0076 0.000640015 210
0.0077 0.000669574 121
0.0078 0.000703591 160
0.0079 0.000742064 258
0.008 0.000784993 201
0.0081 0.00083238 92
0.0082 0.000884223 123
0.0083 0.000928065 88
0.0084 0.000982242 75
0.0085 0.001048 76
0.0086 0.00112533 76
0.0087 0.00121424 76
0.0088 0.00131472 76
0.0089 0.00142993 75
0.009 0.00158382 76

K = 5
0.0001 0.000350314 100
0.0002 0.000337722 118
0.0003 0.000327049 118
0.0004 0.00031843 326
0.0005 0.000311867 265
0.0006 0.000307358 508
0.0007 0.000304904 585
0.0008 0.000299835 492
0.0009 0.000293114 647
0.001 0.000288872 632
0.0011 0.000287109 515
0.0012 0.000285664 517
0.0013 0.000284045 587
0.0014 0.000280181 609
0.0015 0.000275314 310
0.0016 0.000271457 313
0.0017 0.000271253 680
0.0018 0.000267809 836
0.0019 0.000265141 884
0.002 0.000263249 1078
0.0021 0.000260084 1340
0.0022 0.000257244 1321
0.0023 0.00025573 2662
0.0024 0.000253141 2866
0.0025 0.000252027 3028
0.0026 0.000249345 3139
0.0027 0.000246545 1387
0.0028 0.000244622 1386
0.0029 0.000243578 1306
0.003 0.000243412 1427
0.0031 0.000244124 1371
0.0032 0.000245714 1370
0.0033 0.000247779 1484
0.0034 0.000247435 1964
0.0035 0.000248679 1936
0.0036 0.000249345 1799
0.0037 0.000251474 1433
0.0038 0.000254325 1205
0.0039 0.000258081 1145
0.004 0.000262709 1233
0.0041 0.000264507 1408
0.0042 0.000267859 993
0.0043 0.000270177 892
0.0044 0.00027437 830
0.0045 0.000280963 820
0.0046 0.000285504 955
0.0047 0.000288748 685
0.0048 0.000294903 300
0.0049 0.000300656 228
0.005 0.000308748 222
0.0051 0.000314194 284
0.0052 0.000320534 192
0.0053 0.000327768 174
0.0054 0.000333641 316
0.0055 0.000339132 145
0.0056 0.000345196 144
0.0057 0.000352402 171
0.0058 0.000360748 191
0.0059 0.000370236 172
0.006 0.000380865 358
0.0061 0.000392635 226
0.0062 0.000404899 180
0.0063 0.000414608 162
0.0064 0.000425392 169
0.0065 0.000437249 147
0.0066 0.000450181 161
0.0067 0.000463855 264
0.0068 0.000477142 827
0.0069 0.000492038 340
0.007 0.000508543 340
0.0071 0.000525446 215
0.0072 0.00054384 345
0.0073 0.000564074 259
0.0074 0.000586757 262
0.0075 0.000611256 218
0.0076 0.000637967 218
0.0077 0.000666378 237
0.0078 0.000698944 537
0.0079 0.000735695 136
0.008 0.000776632 93
0.0081 0.000821755 77
0.0082 0.000871064 77
0.0083 0.000924559 79
0.0084 0.000982242 78
0.0085 0.001048 77
0.0086 0.00112533 77
0.0087 0.00121424 76
0.0088 0.00131472 78
0.0089 0.00142993 78
0.009 0.00158382 77

K = 6
0.0001 0.000343231 104
0.0002 0.000330916 104
0.0003 0.000320296 225
0.0004 0.000310561 143
0.0005 0.000301486 359
0.0006 0.000294119 156
0.0007 0.00028846 167
0.0008 0.000284508 637
0.0009 0.000281444 195
0.001 0.00027896 214
0.0011 0.000273301 254
0.0012 0.00026888 213
0.0013 0.000266126 286
0.0014 0.000262992 355
0.0015 0.000260355 340
0.0016 0.000258893 951
0.0017 0.000255475 717
0.0018 0.000252812 792
0.0019 0.000250905 925
0.002 0.000248046 1089
0.0021 0.000245626 1555
0.0022 0.000244192 2711
0.0023 0.000241565 3279
0.0024 0.000240304 2804
0.0025 0.000237391 3067
0.0026 0.000234999 2661
0.0027 0.000233431 1291
0.0028 0.000232685 1286
0.0029 0.000232619 1403
0.003 0.00023262 2898
0.0031 0.000232557 1319
0.0032 0.000233107 2445
0.0033 0.00023449 2913
0.0034 0.000235189 3024
0.0035 0.000235411 1279
0.0036 0.000237181 1366
0.0037 0.000240498 1441
0.0038 0.000242378 1328
0.0039 0.000244829 1239
0.004 0.000248594 1272
0.0041 0.000252793 1313
0.0042 0.000257619 1271
0.0043 0.00026146 1248
0.0044 0.000265513 1075
0.0045 0.000269982 1012
0.0046 0.00027434 771
0.0047 0.000277343 686
0.0048 0.000283148 660
0.0049 0.00029042 612
0.005 0.00029613 246
0.0051 0.000302891 244
0.0052 0.000310794 216
0.0053 0.000316811 283
0.0054 0.000322038 209
0.0055 0.000328235 162
0.0056 0.000335503 148
0.0057 0.000342981 138
0.0058 0.000350772 167
0.0059 0.000358374 150
0.006 0.000366954 249
0.0061 0.000376512 110
0.0062 0.000387048 239
0.0063 0.000398562 178
0.0064 0.000411054 110
0.0065 0.000424524 153
0.0066 0.000438972 113
0.0067 0.00045283 138
0.0068 0.00046765 123
0.0069 0.000483964 247
0.007 0.000501773 106
0.0071 0.000519414 250
0.0072 0.000538648 212
0.0073 0.000560153 213
0.0074 0.000583929 220
0.0075 0.000609192 109
0.0076 0.000635207 106
0.0077 0.000664652 103
0.0078 0.000698028 74
0.0079 0.000735335 75
0.008 0.000776573 75
0.0081 0.000821755 75
0.0082 0.000871064 75
0.0083 0.000924559 74
0.0084 0.000982242 76
0.0085 0.001048 74
0.0086 0.00112533 74
0.0087 0.00121424 74
0.0088 0.00131472 75
0.0089 0.00142993 73
0.009 0.00158382 73

K = 7
0.0001 0.0003395 191
0.0002 0.000326534 110
0.0003 0.00031573 116
0.0004 0.000305194 103
0.0005 0.000296086 118
0.0006 0.000287952 120
0.0007 0.000281476 217
0.0008 0.000275053 222
0.0009 0.000269649 192
0.001 0.000265497 220
0.0011 0.000262597 196
0.0012 0.000260951 226
0.0013 0.000258097 252
0.0014 0.000254658 291
0.0015 0.000252022 570
0.0016 0.000248637 1010
0.0017 0.000245352 762
0.0018 0.000242567 876
0.0019 0.000240499 943
0.002 0.000238714 1201
0.0021 0.000236515 2296
0.0022 0.00023459 2734
0.0023 0.000232155 2467
0.0024 0.000229759 2374
0.0025 0.00022807 2343
0.0026 0.000226728 1090
0.0027 0.00022517 1167
0.0028 0.000224433 1329
0.0029 0.00022449 2711
0.003 0.000224435 2870
0.0031 0.000225134 2666
0.0032 0.000225687 3057
0.0033 0.000226887 2774
0.0034 0.000228478 3078
0.0035 0.000229339 2770
