K = 2
0.0001 0.00048829 144
0.0002 0.000447295 106
0.0003 0.000494863 268
0.0004 0.000456601 211
0.0005 0.000422978 165
0.0006 0.000396882 189
0.0007 0.000378314 106
0.0008 0.000366759 175
0.0009 0.000359328 167
0.001 0.000358547 229
0.0011 0.00036418 192
0.0012 0.000344556 423
0.0013 0.000328508 530
0.0014 0.000334672 266
0.0015 0.000357648 199
0.0016 0.000327986 341
0.0017 0.000318442 219
0.0018 0.00028189 319
0.0019 0.000290397 272
0.002 0.000284927 422
0.0021 0.000294669 310
0.0022 0.000291906 260
0.0023 0.000297661 300
0.0024 0.000305505 376
0.0025 0.000308052 251
0.0026 0.000305772 354
0.0027 0.000305891 394
0.0028 0.000308409 347
0.0029 0.000313327 342
0.003 0.000320643 413
0.0031 0.000330359 378
0.0032 0.000342474 542
0.0033 0.000348603 320
0.0034 0.000334892 298
0.0035 0.000349162 283
0.0036 0.000346131 266
0.0037 0.0003655 378
0.0038 0.00035695 264
0.0039 0.000353553 606
0.004 0.000369769 228
0.0041 0.000395922 386
0.0042 0.000396984 237
0.0043 0.000404031 325
0.0044 0.000417061 395
0.0045 0.000436076 269
0.0046 0.000442475 286
0.0047 0.000445064 257
0.0048 0.000449437 367
0.0049 0.000455594 321
0.005 0.000463537 323
0.0051 0.000473264 203
0.0052 0.000484775 275
0.0053 0.000498072 381
0.0054 0.000512702 257
0.0055 0.000525458 306
0.0056 0.000539605 314
0.0057 0.000555144 172
0.0058 0.000567789 223
0.0059 0.000570268 224
0.006 0.000574954 428
0.0061 0.000581844 290
0.0062 0.00059094 184
0.0063 0.000602241 248
0.0064 0.000615747 394
0.0065 0.000631458 258
0.0066 0.000649375 121
0.0067 0.000669497 229
0.0068 0.000691825 115
0.0069 0.000712968 191
0.007 0.000735315 165
0.0071 0.000760187 112
0.0072 0.000787584 111
0.0073 0.000817506 117
0.0074 0.000849954 241
0.0075 0.000884926 115
0.0076 0.000822192 201
0.0077 0.000886359 115
0.0078 0.001005 155
0.0079 0.00104375 108
0.008 0.00105497 112
0.0081 0.00107275 136
0.0082 0.00109709 196
0.0083 0.001128 154
0.0084 0.00114985 229
0.0085 0.00112314 274
0.0086 0.00111081 219
0.0087 0.00111287 104
0.0088 0.00112931 168
0.0089 0.00116013 168
0.009 0.00120533 106
0.0091 0.00126011 239
0.0092 0.0012976 145
0.0093 0.00134384 99
0.0094 0.00139884 103
0.0095 0.00146259 102
0.0096 0.0015351 103
0.0097 0.00161637 118
0.0098 0.00170639 162
0.0099 0.00180517 102
0.01 0.00186726 102
0.0101 0.00191575 108
0.0102 0.00188938 177
0.0103 0.00193937 95
0.0104 0.00206573 208
0.0105 0.00218074 93
0.0106 0.00221052 83
0.0107 0.0028821 83

K = 3
0.0001 0.00039343 188
0.0002 0.000369117 137
0.0003 0.000355507 109
0.0004 0.000340138 189
0.0005 0.00032905 162
0.0006 0.00031052 283
0.0007 0.000298763 202
0.0008 0.000294254 236
0.0009 0.000289092 211
0.001 0.000281429 226
0.0011 0.000272515 255
0.0012 0.000268956 245
0.0013 0.00025162 195
0.0014 0.00025004 208
0.0015 0.000234824 251
0.0016 0.00023404 235
0.0017 0.000235945 373
0.0018 0.000229776 280
0.0019 0.000226918 354
0.002 0.000225007 430
0.0021 0.000226073 520
0.0022 0.000226753 1026
0.0023 0.00022606 1203
0.0024 0.000227124 1305
0.0025 0.00023265 1592
0.0026 0.000230406 1349
0.0027 0.00023192 1822
0.0028 0.0002372 1975
0.0029 0.000246245 2082
0.003 0.00024755 2380
0.0031 0.00025035 2499
0.0032 0.000255236 5617
0.0033 0.000262208 2249
0.0034 0.000269711 4978
0.0035 0.000274025 4018
0.0036 0.000279264 4854
0.0037 0.000277544 4665
0.0038 0.000282937 5780
0.0039 0.00029063 4331
0.004 0.000296223 4641
0.0041 0.000309896 4346
0.0042 0.000313047 2157
0.0043 0.000317375 2373
0.0044 0.000321179 1549
0.0045 0.000325886 1411
0.0046 0.000332072 1068
0.0047 0.000335302 1135
0.0048 0.000339871 1021
0.0049 0.000345821 948
0.005 0.000353152 405
0.0051 0.000361866 432
0.0052 0.00036952 414
0.0053 0.000376866 299
0.0054 0.000385726 308
0.0055 0.000393195 429
0.0056 0.000400255 325
0.0057 0.000408629 299
0.0058 0.000417706 246
0.0059 0.000425599 223
0.006 0.000434562 205
0.0061 0.000444595 166
0.0062 0.000455697 232
0.0063 0.00046787 206
0.0064 0.000481112 248
0.0065 0.000495425 229
0.0066 0.000510807 261
0.0067 0.000527259 162
0.0068 0.000544781 231
0.0069 0.000563373 186
0.007 0.000583035 228
0.0071 0.000603766 254
0.0072 0.000623175 167
0.0073 0.000638903 232
0.0074 0.000656584 232
0.0075 0.000676218 234
0.0076 0.000693224 329
0.0077 0.000712173 189
0.0078 0.000733829 227
0.0079 0.000758193 222
0.008 0.00078011 171
0.0081 0.000787679 187
0.0082 0.000802283 205
0.0083 0.000823921 180
0.0084 0.000852594 112
0.0085 0.000888303 125
0.0086 0.000925437 180
0.0087 0.00096317 113
0.0088 0.0010007 102
0.0089 0.00100281 105
0.009 0.00101643 165
0.0091 0.00104153 104
0.0092 0.00107486 98
0.0093 0.00110169 212
0.0094 0.00113646 101
0.0095 0.00117919 102
0.0096 0.00122985 223
0.0097 0.00128846 100
0.0098 0.00135502 101
0.0099 0.00142953 235
0.01 0.00151197 174
0.0101 0.00160237 97
0.0102 0.00166215 101
0.0103 0.00168592 116
0.0104 0.00178462 83
0.0105 0.00195826 84
0.0106 0.00221052 83
0.0107 0.0028821 87

K = 4
0.0001 0.000305005 153
0.0002 0.000311444 179
0.0003 0.000299687 202
0.0004 0.000288155 255
0.0005 0.000277312 286
0.0006 0.000261826 355
0.0007 0.000253464 164
0.0008 0.000252228 182
0.0009 0.000249628 421
0.001 0.000242367 197
0.0011 0.000237173 250
0.0012 0.000222505 335
0.0013 0.000217446 288
0.0014 0.000207887 487
0.0015 0.000207575 779
0.0016 0.000201404 874
0.0017 0.000198018 896
0.0018 0.000196973 989
0.0019 0.000194404 1217
0.002 0.000195362 1725
0.0021 0.000193136 3965
0.0022 0.000194521 3621
0.0023 0.000196401 4410
0.0024 0.000196258 5665
0.0025 0.000193935 5614
0.0026 0.000194049 6039
0.0027 0.00019674 6728
0.0028 0.000200011 8070
0.0029 0.000200246 9796
0.003 0.000202096 8236
0.0031 0.000206541 9648
0.0032 0.000211399 10276
0.0033 0.000217794 12817
0.0034 0.00022181 12604
