K = 2
0.0001 0.000475584 774
0.0002 0.000481165 703
0.0003 0.000525412 814
0.0004 0.000583346 911
0.0005 0.00054959 613
0.0006 0.000535461 660
0.0007 0.000534591 697
0.0008 0.000513312 512
0.0009 0.000503732 545
0.001 0.00050585 609
0.0011 0.000519666 568
0.0012 0.000525401 638
0.0013 0.000514988 577
0.0014 0.000506416 560
0.0015 0.000499685 582
0.0016 0.000494794 541
0.0017 0.000491744 473
0.0018 0.000490534 613
0.0019 0.000491166 505
0.002 0.000493638 501
0.0021 0.00049795 479
0.0022 0.000504104 538
0.0023 0.000512097 477
0.0024 0.000521932 643
0.0025 0.000533607 454
0.0026 0.000547123 435
0.0027 0.00056248 449
0.0028 0.00057518 472
0.0029 0.000576579 447
0.003 0.000584236 463
0.0031 0.000598149 416
0.0032 0.00061832 415
0.0033 0.000637064 438
0.0034 0.00066248 503
0.0035 0.000699821 416
0.0036 0.000682835 450
0.0037 0.000737021 397
0.0038 0.000689591 399
0.0039 0.000691593 423
0.004 0.000704377 386
0.0041 0.000779532 444
0.0042 0.000853258 426
0.0043 0.000930284 458
0.0044 0.00103184 395
0.0045 0.00106312 409
0.0046 0.00112792 382
0.0047 0.0013259 375
0.0048 0.00165442 368

K = 3
0.0001 0.000390915 565
0.0002 0.000423934 706
0.0003 0.000414904 782
0.0004 0.000410144 646
0.0005 0.000410154 672
0.0006 0.000406574 644
0.0007 0.000402708 781
0.0008 0.000399773 667
0.0009 0.000396658 687
0.001 0.000394781 617
0.0011 0.000394142 635
0.0012 0.00039474 601
0.0013 0.000396577 554
0.0014 0.000399651 675
0.0015 0.000403964 549
0.0016 0.000409514 627
0.0017 0.000416209 842
0.0018 0.000422946 644
0.0019 0.000429752 644
0.002 0.000433177 616
0.0021 0.000438436 736
0.0022 0.000445528 651
0.0023 0.000454453 565
0.0024 0.000465212 758
0.0025 0.000477803 502
0.0026 0.000490607 540
0.0027 0.000500088 571
0.0028 0.000510025 482
0.0029 0.000520396 576
0.003 0.000530847 477
0.0031 0.000538408 794
0.0032 0.000549043 463
