K = 2
0.0001 0.000448211 200
0.0002 0.000434947 173
0.0003 0.000423791 810
0.0004 0.000414745 381
0.0005 0.000407807 194
0.0006 0.000402979 438
0.0007 0.00038788 167
0.0008 0.000373241 251
0.0009 0.000365376 221
0.001 0.000335683 718
0.0011 0.000311666 108
0.0012 0.000309938 495
0.0013 0.000337104 143
0.0014 0.000349627 242
0.0015 0.000367242 234
0.0016 0.000350348 967
0.0017 0.000309766 155
0.0018 0.0002827 1171
0.0019 0.000276294 528
0.002 0.000290548 634
0.0021 0.000325463 332
0.0022 0.000319672 1029
0.0023 0.000317703 653
0.0024 0.000319567 654
0.0025 0.000325265 290
0.0026 0.000331724 805
0.0027 0.000339985 658
0.0028 0.00032659 335
0.0029 0.000318857 473
0.003 0.000320829 1064
0.0031 0.000332507 835
0.0032 0.00035389 159
0.0033 0.000365918 790
0.0034 0.000366832 240
0.0035 0.000368317 579
0.0036 0.000370373 796
0.0037 0.000373001 1203
0.0038 0.0003762 1914
0.0039 0.00037997 731
0.004 0.000383588 604
0.0041 0.000383777 192
0.0042 0.000384709 713
0.0043 0.000386385 960
0.0044 0.000388804 485
0.0045 0.000391967 473
0.0046 0.000395873 588
0.0047 0.000400522 628
0.0048 0.000405916 546
0.0049 0.000412052 987
0.005 0.000418932 521
0.0051 0.000426555 681
0.0052 0.000434922 210
0.0053 0.000444033 265
0.0054 0.000453886 349
0.0055 0.000464484 154
0.0056 0.000475824 591
0.0057 0.000487908 560
0.0058 0.000495479 1354
0.0059 0.000503683 536
0.006 0.000512929 97
0.0061 0.000523215 543
0.0062 0.000534543 920
0.0063 0.000546911 1051
0.0064 0.00056032 556
0.0065 0.000574771 130
0.0066 0.000590262 854
0.0067 0.000606795 482
0.0068 0.000624368 1220
0.0069 0.000642982 806
0.007 0.000662638 830
0.0071 0.000683334 520
0.0072 0.000705071 966
0.0073 0.000727281 614
0.0074 0.000749325 428
0.0075 0.000770919 1236
0.0076 0.000790873 110
0.0077 0.00081249 896
0.0078 0.000835769 766
0.0079 0.00086071 122
0.008 0.000873073 802
0.0081 0.000870389 86
0.0082 0.00087361 1247
0.0083 0.000882739 91
0.0084 0.000897774 333
0.0085 0.000918715 87
0.0086 0.000945563 477
0.0087 0.000978317 517
0.0088 0.000988744 417
0.0089 0.000916789 120
0.009 0.000885021 655
0.0091 0.00089344 684
0.0092 0.000942048 128
0.0093 0.00103084 897
0.0094 0.00115983 211
0.0095 0.00116155 547
0.0096 0.00117094 108
0.0097 0.00119041 1040
0.0098 0.00121996 940
0.0099 0.0011439 94
0.01 0.00107326 79
0.0101 0.00103331 668
0.0102 0.00102403 89
0.0103 0.00104544 84
0.0104 0.00109754 395
0.0105 0.00118031 71
0.0106 0.00129378 70
0.0107 0.00143792 72
0.0108 0.00161275 73
0.0109 0.00181826 71
0.011 0.00205446 76
0.0111 0.00232134 73
0.0112 0.00261891 70

K = 3
0.0001 0.00033332 165
0.0002 0.000322576 629
0.0003 0.000313914 240
0.0004 0.000307332 181
0.0005 0.000302832 535
0.0006 0.000300412 687
0.0007 0.000292192 186
0.0008 0.000286403 585
0.0009 0.000272514 380
0.001 0.000262978 581
0.0011 0.0002674 492
0.0012 0.00027271 737
0.0013 0.000255956 905
0.0014 0.000242957 1038
0.0015 0.000235936 693
0.0016 0.000234892 525
0.0017 0.000239826 258
0.0018 0.000246169 536
0.0019 0.000247821 806
0.002 0.000245971 371
0.0021 0.000235571 409
0.0022 0.000227679 325
0.0023 0.000223596 807
0.0024 0.000223323 462
0.0025 0.00022686 546
0.0026 0.000234205 670
0.0027 0.00024536 1101
0.0028 0.00024488 352
0.0029 0.000244458 461
0.003 0.000244598 736
0.0031 0.000245301 455
0.0032 0.000246565 736
0.0033 0.000248391 572
0.0034 0.000250779 830
